stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
initial,0,29,1.202048,0.5979227287423218,0.550763,0.4491928049731724,0.37249936975305475,0.491763,0.203838,0.827528,0.4134363859790002,0.51842,0.106159,0
initial,0,30,0.960537,0.6798752113374734,0.485617,0.1539397434231997,0.17305793140793524,0.648487,0.275383,0.7086,0.20350167099888597,0.605583,0.207573,1
initial,0,31,1.038624,0.7375060878420265,0.676704,0.49768306545833463,0.3576619008613202,0.479777,0.274069,0.520379,0.22870948315966427,0.592386,0.159187,0
initial,0,32,0.916084,0.6127964357450467,0.396595,0.42296167170502424,0.4059445057726944,0.464203,0.290107,0.451929,0.36004455022363796,0.645968,0.198878,1
initial,0,33,0.928178,0.8223588556701469,0.468074,0.24834101598931807,0.4687527075336299,0.560643,0.235134,0.576775,0.23423268391616994,0.650649,0.266965,0
initial,0,34,1.16033,0.11454082697041695,0.629032,0.17928161871067821,0.3607852571033171,0.501649,0.249309,0.568552,0.4784846143037797,0.644774,0.287668,1
initial,0,35,0.838297,0.6446627488192161,0.57614,0.22958339488846205,0.2602114174904225,0.44276,0.226797,0.818181,0.46211783437033793,0.636556,0.1621,0
initial,0,36,1.237103,0.9749719147682284,0.562469,0.3086689649373581,0.4187239852381618,0.44961,0.251443,0.752742,0.18656798377326514,0.561375,0.29562,1
initial,0,37,0.974591,0.21330531323972957,0.355725,0.31939157356306375,0.2615351132874742,0.499257,0.260088,0.800332,0.19623626914070694,0.661966,0.193844,0
initial,0,38,1.22191,0.26614071536863354,0.666268,0.21574230053116464,0.47633530889725084,0.683709,0.267258,0.763195,0.3151998921096773,0.600508,0.247326,0
initial,0,39,0.985743,0.23305339439043876,0.702867,0.39315063608742906,0.21296849726305406,0.660833,0.279621,0.746608,0.44087317553693334,0.405562,0.186738,0
initial,0,40,1.210385,0.45042849985496924,0.405039,0.32618416518109744,0.3111382733883202,0.671496,0.224517,0.494311,0.16326304072325637,0.58279,0.24006,0
initial,0,41,1.157983,0.5467012647871848,0.458622,0.45531179189389576,0.19106070195307734,0.685348,0.259635,0.610598,0.2778973122892069,0.547977,0.113702,0
initial,0,42,1.061882,0.9166622303456196,0.688088,0.36711716928398264,0.2209531957595719,0.470992,0.28841,0.674023,0.3811810175329301,0.696122,0.232349,0
initial,0,43,1.216562,0.702411714039621,0.721812,0.46430487194914216,0.23863587168275668,0.600021,0.230671,0.528342,0.330748279576494,0.627465,0.206006,1
initial,0,44,0.924228,0.28565153056506054,0.418079,0.41549667646193356,0.27458294673458195,0.437726,0.225158,0.573999,0.20920348812744596,0.464077,0.132373,0
initial,0,45,0.807596,0.5716909406418594,0.56607,0.3839725301083141,0.4122952902316773,0.652816,0.210472,0.511801,0.28575984271549815,0.620882,0.291763,0
